title,field_address_address_line1,field_address_locality,field_address_administrative_area,field_address_postal_code,field_address_country_code,field_venue_type,field_short_description,field_phone,field_website_uri,field_website_title,field_cuisine,field_claimed_listing,field_image,image_search_hint,field_latitude,field_longitude,field_tags,field_address_line1,field_city,field_state,field_zip,field_country,field_description,field_website,field_source,field_menu_url,field_cta,field_cta_title
Caribbean Jack’s,721 Ballough Rd,Daytona Beach,FL,32114,US,Restaurant|Bar,Waterfront tiki-style restaurant with live music and tropical drinks.,(386) 523-3000,https://caribbeanjacks.com,Official website,Seafood|Caribbean,0.0,,Caribbean Jack's Daytona Beach marina; Caribbean Jack's tiki bar food,29.201214,-81.029019,"Seafood, Waterfront, Caribbean, Casual",721 Ballough Rd,Daytona Beach,FL,32114,US,,,,,,
JB’s Fish Camp,859 Pompano Ave,New Smyrna Beach,FL,32169,US,Restaurant,Rustic waterfront seafood spot with lagoon views.,(386) 427-5747,https://jbsfishcamp.com,Official website,Seafood,0.0,,JB's Fish Camp Edgewater waterfront seafood; JB's outdoor dining,29.026661,-80.91963,"Seafood, Waterfront, Casual, Local Favorite",859 Pompano Ave,New Smyrna Beach,FL,32169,US,,,,,,
Boston’s Fish House,1414 S Atlantic Ave,New Smyrna Beach,FL,32169,US,Restaurant,Casual seafood joint with large portions.,(386) 957-3745,https://bostonsfishhouse.com,Official website,Seafood,0.0,,Boston's Fish House NSB fried seafood; Boston's platters,29.034613,-80.929458,"Seafood, Casual, Local Favorite, Lunch",1414 S Atlantic Ave,New Smyrna Beach,FL,32169,US,,,,,,
Riverpark Terrace,302 S Riverside Dr,New Smyrna Beach,FL,32168,US,Restaurant,Elegant riverfront restaurant with seasonal menu.,(386) 427-2903,https://riverparkterrace.com,Official website,American|Fine Dining,0.0,,Riverpark Terrace NSB riverfront dining; Riverpark elegant restaurant,29.022402,-80.926518,bar food|burgers|grill|happy hour|wings,302 S Riverside Dr,New Smyrna Beach,FL,32168,US,,,,,,
Goodrich Seafood,253 River Rd,Oak Hill,FL,32759,US,Restaurant,Old Florida seafood shack with river views.,(386) 345-2381,,,Seafood,0.0,,Goodrich Seafood Oak Hill oysters waterfront; Goodrich seafood shack,28.8737913,-80.839784,"Seafood, Casual, Local Favorite, Lunch",253 River Rd,Oak Hill,FL,32759,US,,,,,,
Ormond Brewing Company,301 Division Ave,Ormond Beach,FL,32174,US,Bar|Brewery,Local craft brewery with rotating taps and casual vibe.,(386) 492-9993,https://ormondbrewing.com,Official website,Brewery|Pub Food,0.0,,Ormond Brewing Company taproom beers; Ormond Brewing flights,29.2744429,-81.0610297,"Casual, Drinks, Craft Beer, Brewery, Pub Food",301 Division Ave,Ormond Beach,FL,32174,US,,,,,,
Big Tunas Beach Bar & Grill,2695 N Atlantic Ave,Daytona Beach,FL,32118,US,Bar|Restaurant,Daytona Beach venue offering seafood / bar and recurring specials.,,https://www.restaurantji.com/fl/daytona-beach/big-tunas-bar-and-grill-/,Official website,Seafood / Bar,0.0,,Big Tunas Beach Bar & Grill Daytona Beach exterior; Big Tunas Beach Bar & Grill food drinks,29.204829,-81.02745,"Seafood, Casual, Drinks, Bar",2695 N Atlantic Ave,Daytona Beach,FL,32118,US,,,,,,
Blue Flame,1870 Victory Cir,Daytona Beach,FL,32114,US,Restaurant,Daytona Beach venue offering american / hotel bar and recurring specials.,,https://www.blueflamedaytona.com/event/happy-hour/,Official website,American / Hotel Bar,0.0,,Blue Flame Daytona Beach exterior; Blue Flame food drinks,29.217674,-81.030735,"Hotel Bar, Casual, Local Favorite, Lunch",1870 Victory Cir,Daytona Beach,FL,32114,US,,,,,,
Bonefish Grill,Daytona Beach,Daytona Beach,FL,32114,US,Restaurant,Daytona Beach venue offering seafood and recurring specials.,,https://www.restaurantji.com/fl/daytona-beach/bonefish-grill-/,Official website,Seafood,0.0,,Bonefish Grill Daytona Beach exterior; Bonefish Grill food drinks,29.203246,-81.017518,"Seafood, Casual, Local Favorite, Lunch",Daytona Beach,Daytona Beach,FL,32114,US,,,,,,
Ford's Garage Daytona,1495 Cornerstone Blvd,Daytona Beach,FL,32117,US,Restaurant,Daytona Beach venue offering burgers / american and recurring specials.,,https://fordsgarageusa.com/locations/daytona/,Official website,Burgers / American,0.0,,Ford's Garage Daytona Daytona Beach exterior; Ford's Garage Daytona food drinks,29.211868,-81.0241,"Burgers, Casual, Local Favorite, Lunch",1495 Cornerstone Blvd,Daytona Beach,FL,32117,US,,,,https://www.fordsgarageusa.com/menu,,
Hyde Park Prime Steakhouse,Daytona Beach,Daytona Beach,FL,32118,US,Restaurant,Daytona Beach venue offering steakhouse and recurring specials.,,https://www.hydeparkrestaurants.com/daytona-beach-menu/,Official website,Steakhouse,0.0,,Hyde Park Prime Steakhouse Daytona Beach exterior; Hyde Park Prime Steakhouse food drinks,29.213816,-81.02487,"Steak, Steakhouse, Casual, Local Favorite",Daytona Beach,Daytona Beach,FL,32118,US,,,,https://www.hydeparkrestaurants.com/daytona-beach-menu/,,
LandShark Bar & Grill,471 S Atlantic Ave,Daytona Beach,FL,32118,US,Bar|Restaurant,Daytona Beach venue offering seafood / bar and recurring specials.,,https://daytona.landsharkbarandgrill.com/happy-hour-2025,Official website,Seafood / Bar,0.0,,LandShark Bar & Grill Daytona Beach exterior; LandShark Bar & Grill food drinks,29.219048,-81.015122,"Seafood, Casual, Drinks, Bar",471 S Atlantic Ave,Daytona Beach,FL,32118,US,,,,,,
Little Italy's Ristorante,240 S Beach St,Daytona Beach,FL,32114,US,Restaurant,Daytona Beach venue offering italian and recurring specials.,,https://www.facebook.com/littleitalysristorantedaytona/,Official website,Italian,0.0,,Little Italy's Ristorante Daytona Beach exterior; Little Italy's Ristorante food drinks,29.209749,-81.032692,italian food|lasagna|pasta|pizza|spaghetti,240 S Beach St,Daytona Beach,FL,32114,US,,,,,,
Riverside Johnny's,115 Main St Bridge,Daytona Beach,FL,32118,US,Restaurant,Daytona Beach venue offering american / sports bar and recurring specials.,,https://www.facebook.com/RiversideJohnnys/,Official website,American / Sports Bar,0.0,,Riverside Johnny's Daytona Beach exterior; Riverside Johnny's food drinks,29.209636,-81.013917,"Casual, Drinks, Sports Bar, Local Favorite",115 Main St Bridge,Daytona Beach,FL,32118,US,,,,,,
Twin Peaks Daytona Beach,Daytona Beach,Daytona Beach,FL,32117,US,Restaurant,Daytona Beach venue offering sports bar / american and recurring specials.,,https://twinpeaksrestaurant.com/locations/daytona-beach,Official website,Sports Bar / American,0.0,,Twin Peaks Daytona Beach Daytona Beach exterior; Twin Peaks Daytona Beach food drinks,29.215251,-81.031417,"Casual, Drinks, Sports Bar, Local Favorite",Daytona Beach,Daytona Beach,FL,32117,US,,,,,,
Goodfella's Pizzeria & Wiseguys Lounge,2955 Enterprise Rd,DeBary,FL,32713,US,Restaurant,DeBary venue offering italian / lounge and recurring specials.,,https://www.goodfellasitalianrestaurant.com/,Official website,Italian / Lounge,0.0,,Goodfella's Pizzeria & Wiseguys Lounge DeBary exterior; Goodfella's Pizzeria & Wiseguys Lounge food drinks,28.8963418,-81.2833697,"Casual, Drinks, Pizza, Italian, Lounge",2955 Enterprise Rd,DeBary,FL,32713,US,,,,,,
La Catrina Tapatia,DeBary,DeBary,FL,32713,US,Restaurant,DeBary venue offering mexican and recurring specials.,,https://lacatrinatapatia.com/,Official website,Mexican,0.0,,La Catrina Tapatia DeBary exterior; La Catrina Tapatia food drinks,28.8556237,-81.3233651,burritos|enchiladas|mexican food|quesadillas|street tacos|tacos,DeBary,DeBary,FL,32713,US,,,,,,
Swamp House Riverfront Grill,488 W Highbanks Rd,DeBary,FL,32713,US,Restaurant,DeBary venue offering seafood / american and recurring specials.,,https://www.swamphousegrill.com/,Official website,Seafood / American,0.0,,Swamp House Riverfront Grill DeBary exterior; Swamp House Riverfront Grill food drinks,28.8907532,-81.3542176,"Seafood, Casual, Local Favorite, Lunch",488 W Highbanks Rd,DeBary,FL,32713,US,,,,,,
31 Supper Club,DeLand,DeLand,FL,32174,US,Restaurant,DeLand venue offering steak / seafood / cocktails and recurring specials.,,https://www.31supperclub.com/,Official website,Steak / Seafood / Cocktails,0.0,,31 Supper Club DeLand exterior; 31 Supper Club food drinks,29.023304,-81.293346,"Seafood, Steak, Cocktails, Casual",DeLand,DeLand,FL,32174,US,,,,,,
Cafe DaVinci,DeLand,DeLand,FL,32720,US,Cafe,DeLand venue offering live music venue / bar and recurring specials.,,https://cafedavincideland.com/,Official website,Live Music Venue / Bar,0.0,,Cafe DaVinci DeLand exterior; Cafe DaVinci food drinks,29.036692,-81.30169,"Coffee, Casual, Live Music Venue, Bar",DeLand,DeLand,FL,32720,US,,,,,,
Chicas Cuban Cafe,215 S Woodland Blvd,DeLand,FL,32720,US,Cafe,DeLand venue offering cuban and recurring specials.,,https://www.restaurantji.com/fl/deland/chicas-cuban-cafe-/,Official website,Cuban,0.0,,Chicas Cuban Cafe DeLand exterior; Chicas Cuban Cafe food drinks,29.01885,-81.310045,"Coffee, Casual, Cuban, Local Favorite",215 S Woodland Blvd,DeLand,FL,32720,US,,,,,,
OB's Bar & Restaurant,DeLand,DeLand,FL,32720,US,Bar|Restaurant,DeLand venue offering bar & grill and recurring specials.,,https://obsbardeland.com/,Official website,Bar & Grill,0.0,,OB's Bar & Restaurant DeLand exterior; OB's Bar & Restaurant food drinks,29.031383,-81.293243,"Casual, Drinks, Bar & Grill, Local Favorite",DeLand,DeLand,FL,32720,US,,,,,,
Sparrow's Grille,300 Spalding Way 8802,DeLand,FL,32724,US,Restaurant,DeLand venue offering american and recurring specials.,,https://www.restaurantji.com/fl/deland/sparrows-grille-/,Official website,American,0.0,,Sparrow's Grille DeLand exterior; Sparrow's Grille food drinks,29.026788,-81.307837,bar food|burgers|grill|happy hour|wings,300 Spalding Way 8802,DeLand,FL,32724,US,,,,,,
The DeLand Stockyard,DeLand,DeLand,FL,32720,US,Restaurant,DeLand venue offering american / steakhouse and recurring specials.,,https://www.restaurantji.com/fl/deland/the-deland-stockyard-/,Official website,American / Steakhouse,0.0,,The DeLand Stockyard DeLand exterior; The DeLand Stockyard food drinks,29.022606,-81.31215,"Steak, Steakhouse, Casual, Local Favorite",DeLand,DeLand,FL,32720,US,,,,,,
The Parched Oak,145 N Woodland Blvd,DeLand,FL,32720,US,Restaurant,DeLand venue offering cocktail bar and recurring specials.,,https://www.restaurantji.com/fl/deland/the-parched-oak-/,Official website,Cocktail Bar,0.0,,The Parched Oak DeLand exterior; The Parched Oak food drinks,29.036609,-81.297298,"Cocktails, Cocktail Bar, Casual, Local Favorite",145 N Woodland Blvd,DeLand,FL,32720,US,,,,,,
Beef 'O' Brady's Deltona,2160 Howland Blvd,Deltona,FL,32738,US,Restaurant,Deltona venue offering sports bar / american and recurring specials.,,https://www.beefobradys.com/deltona,Official website,Sports Bar / American,0.0,,Beef 'O' Brady's Deltona Deltona exterior; Beef 'O' Brady's Deltona food drinks,28.89371,-81.263892,"Casual, Drinks, Sports Bar, Local Favorite",2160 Howland Blvd,Deltona,FL,32738,US,,,,,,
Bulldog Sports Grill,Deltona,Deltona,FL,32725,US,Restaurant,Deltona venue offering sports bar and recurring specials.,,https://www.restaurantji.com/fl/deltona/the-bulldog-pub-/,Official website,Sports Bar,0.0,,Bulldog Sports Grill Deltona exterior; Bulldog Sports Grill food drinks,28.904083,-81.256224,"Casual, Drinks, Sports Bar, Local Favorite",Deltona,Deltona,FL,32725,US,,,,,,
Just 1 More Rooster,1382 Howland Blvd,Deltona,FL,32738,US,Restaurant,Deltona venue offering sports grill and recurring specials.,,https://www.restaurantji.com/fl/deltona/just-1-more-sports-grill-/,Official website,Sports Grill,0.0,,Just 1 More Rooster Deltona exterior; Just 1 More Rooster food drinks,28.90617,-81.263511,"Sports Grill, Casual, Local Favorite, Lunch",1382 Howland Blvd,Deltona,FL,32738,US,,,,,,
High Rise Pizza,3300 S Ridgewood Ave,Edgewater,FL,32141,US,Restaurant,Edgewater venue offering pizza and recurring specials.,,https://www.facebook.com/groups/1718113361790724/posts/4175548342713868/,Official website,Pizza,0.0,,High Rise Pizza Edgewater exterior; High Rise Pizza food drinks,28.942727,-80.882959,"Pizza, Casual, Local Favorite, Lunch",3300 S Ridgewood Ave,Edgewater,FL,32141,US,,,,,,
JC's Riptides,2576 S Ridgewood Ave,Edgewater,FL,32141,US,Restaurant,Edgewater venue offering american / seafood and recurring specials.,,https://www.restaurantji.com/fl/edgewater/jcs-riptides-/,Official website,American / Seafood,0.0,,JC's Riptides Edgewater exterior; JC's Riptides food drinks,28.9565728,-80.8874096,"Seafood, Casual, Local Favorite, Lunch",2576 S Ridgewood Ave,Edgewater,FL,32141,US,,,,,,
Tailgatorz,3411 S Ridgewood Ave,Edgewater,FL,32141,US,Restaurant,Edgewater venue offering bar & grill and recurring specials.,,https://www.restaurantji.com/fl/edgewater/tailgatorz-/,Official website,Bar & Grill,0.0,,Tailgatorz Edgewater exterior; Tailgatorz food drinks,28.9413276,-80.8811855,"Casual, Drinks, Bar & Grill, Local Favorite",3411 S Ridgewood Ave,Edgewater,FL,32141,US,,,,,,
Corkscrew Bar & Grille,235 Canal St,New Smyrna Beach,FL,32168,US,Bar|Restaurant,New Smyrna Beach venue offering american / bar and recurring specials.,,https://www.corkscrewbarandgrille.com/menu/,Official website,American / Bar,0.0,,Corkscrew Bar & Grille New Smyrna Beach exterior; Corkscrew Bar & Grille food drinks,29.021935,-80.928593,"Casual, Drinks, Bar, Local Favorite",235 Canal St,New Smyrna Beach,FL,32168,US,,,,https://www.corkscrewbarandgrille.com/menu/,,
Flagler Tavern,New Smyrna Beach,New Smyrna Beach,FL,32169,US,Restaurant,New Smyrna Beach venue offering seafood / tavern and recurring specials.,,https://flaglertavern.com/,Official website,Seafood / Tavern,0.0,,Flagler Tavern New Smyrna Beach exterior; Flagler Tavern food drinks,29.018428,-80.930236,"Seafood, Tavern, Casual, Local Favorite",New Smyrna Beach,New Smyrna Beach,FL,32169,US,,,,,,
Outriggers,New Smyrna Beach,New Smyrna Beach,FL,32169,US,Restaurant,New Smyrna Beach venue offering seafood / waterfront and recurring specials.,,https://www.outriggersnsb.com/,Official website,Seafood / Waterfront,0.0,,Outriggers New Smyrna Beach exterior; Outriggers food drinks,29.034418,-80.928209,"Seafood, Waterfront, Casual, Local Favorite",New Smyrna Beach,New Smyrna Beach,FL,32169,US,,,,,,
The General Public House,New Smyrna Beach,New Smyrna Beach,FL,32168,US,Restaurant,New Smyrna Beach venue offering bar & grill and recurring specials.,,https://www.generalpublichouse.com/menus/happy-hour,Official website,Bar & Grill,0.0,,The General Public House New Smyrna Beach exterior; The General Public House food drinks,29.02663,-80.925967,"Casual, Drinks, Bar & Grill, Local Favorite",New Smyrna Beach,New Smyrna Beach,FL,32168,US,,,,https://www.generalpublichouse.com/menus/happy-hour,,
The Grille at Riverview,New Smyrna Beach,New Smyrna Beach,FL,32169,US,Restaurant,New Smyrna Beach venue offering american / seafood and recurring specials.,,https://www.thegrilleatriverview.com/,Official website,American / Seafood,0.0,,The Grille at Riverview New Smyrna Beach exterior; The Grille at Riverview food drinks,29.032966,-80.917262,"Seafood, Casual, Local Favorite, Lunch",New Smyrna Beach,New Smyrna Beach,FL,32169,US,,,,,,
Applebee's Orange City,2599 Enterprise Rd,Orange City,FL,32763,US,Restaurant,Orange City venue offering american / bar and recurring specials.,,https://restaurants.applebees.com/en-us/fl/orange-city/2599-enterprise-road-90023/happy-hour,Official website,American / Bar,0.0,,Applebee's Orange City Orange City exterior; Applebee's Orange City food drinks,28.945505,-81.294766,"Bar, Casual, Local Favorite, Lunch",2599 Enterprise Rd,Orange City,FL,32763,US,,,,https://www.applebees.com/en/menu,,
Chili's Orange City,939 Saxon Blvd,Orange City,FL,32763,US,Restaurant,Orange City venue offering tex-mex / american and recurring specials.,,https://www.chilis.com/locations/us/florida/orange-city/orange-city,Official website,Tex-Mex / American,0.0,,Chili's Orange City Orange City exterior; Chili's Orange City food drinks,28.950346,-81.304513,"Tex-Mex, Casual, Local Favorite, Lunch",939 Saxon Blvd,Orange City,FL,32763,US,,,,,,
Fiesta Grande Mexican Grill,816 Saxon Blvd,Orange City,FL,32763,US,Restaurant,Orange City venue offering mexican and recurring specials.,,https://fiestagranderestaurant.com/fiestagrandeorange,Official website,Mexican,0.0,,Fiesta Grande Mexican Grill Orange City exterior; Fiesta Grande Mexican Grill food drinks,28.941973,-81.294818,burritos|enchiladas|mexican food|quesadillas|street tacos|tacos,816 Saxon Blvd,Orange City,FL,32763,US,,,,,,
Nice N Easy Oyster Bar & Grille,2109 N Volusia Ave,Orange City,FL,32763,US,Bar|Restaurant,Orange City venue offering seafood / oyster bar and recurring specials.,,https://niceneasyoysterbar.com/,Official website,Seafood / Oyster Bar,0.0,,Nice N Easy Oyster Bar & Grille Orange City exterior; Nice N Easy Oyster Bar & Grille food drinks,28.945434,-81.289591,"Seafood, Casual, Drinks, Oyster Bar",2109 N Volusia Ave,Orange City,FL,32763,US,,,,,,
Orange Social,2621 Enterprise Rd,Orange City,FL,32763,US,Restaurant,Orange City venue offering american and recurring specials.,,https://www.facebook.com/61552264935714/,Official website,American,0.0,,Orange Social Orange City exterior; Orange Social food drinks,28.94806,-81.301754,bar food|burgers|grill|happy hour|wings,2621 Enterprise Rd,Orange City,FL,32763,US,,,,,,
Riverwalk Pizzeria & Brew Pub / Blue Springs Brewing,1070 S Volusia Ave,Orange City,FL,32763,US,Bar|Brewery,Orange City venue offering pizza / brewery and recurring specials.,,https://www.bluespringsbrewing.com/menu,Official website,Pizza / Brewery,0.0,,Riverwalk Pizzeria & Brew Pub / Blue Springs Brewing Orange City exterior; Riverwalk Pizzeria & Brew Pub / Blue Springs Brewing food drinks,28.954037,-81.291661,"Casual, Drinks, Pizza, Craft Beer, Brewery",1070 S Volusia Ave,Orange City,FL,32763,US,,,,https://www.bluespringsbrewing.com/menu,,
Beachside Bar Deck & Grill,790 S Atlantic Ave,Ormond Beach,FL,32176,US,Bar|Restaurant,Ormond Beach venue offering bar & grill and recurring specials.,,https://www.restaurantji.com/fl/ormond-beach/beachside-bar-deck-and-grill-/,Official website,Bar & Grill,0.0,,Beachside Bar Deck & Grill Ormond Beach exterior; Beachside Bar Deck & Grill food drinks,29.2722354,-81.0302719,"Casual, Drinks, Bar & Grill, Local Favorite",790 S Atlantic Ave,Ormond Beach,FL,32176,US,,,,,,
Lulu's Oceanside Grill,30 S Atlantic Ave,Ormond Beach,FL,32176,US,Restaurant,Ormond Beach venue offering american / seafood and recurring specials.,,https://www.restaurantji.com/fl/ormond-beach/lulus-oceanside-grill-/,Official website,American / Seafood,0.0,,Lulu's Oceanside Grill Ormond Beach exterior; Lulu's Oceanside Grill food drinks,29.2906742,-81.0404782,"Seafood, Casual, Local Favorite, Lunch",30 S Atlantic Ave,Ormond Beach,FL,32176,US,,,,,,
Oceanside Beach Bar & Grill,1900 Ocean Shore Blvd,Ormond Beach,FL,32176,US,Bar|Restaurant,Ormond Beach venue offering american / beach bar and recurring specials.,,https://www.facebook.com/oceansidebeachgrill/,Official website,American / Beach Bar,0.0,,Oceanside Beach Bar & Grill Ormond Beach exterior; Oceanside Beach Bar & Grill food drinks,29.340715,-81.0626923,"Casual, Drinks, Beach Bar, Local Favorite",1900 Ocean Shore Blvd,Ormond Beach,FL,32176,US,,,,,,
Riptides Raw Bar & Grill,Ormond Beach,Ormond Beach,FL,32176,US,Bar|Restaurant,Ormond Beach venue offering seafood / raw bar and recurring specials.,,https://www.facebook.com/oceansidebeachgrill/,Official website,Seafood / Raw Bar,0.0,,Riptides Raw Bar & Grill Ormond Beach exterior; Riptides Raw Bar & Grill food drinks,29.2872442,-81.0645772,"Seafood, Casual, Drinks, Raw Bar",Ormond Beach,Ormond Beach,FL,32176,US,,,,,,
SoNapa Grille,Ormond Beach,Ormond Beach,FL,32174,US,Restaurant,Ormond Beach venue offering american and recurring specials.,,https://www.sonapa.com/ormond-beach,Official website,American,0.0,,SoNapa Grille Ormond Beach exterior; SoNapa Grille food drinks,29.2872442,-81.0645772,bar food|burgers|grill|happy hour|wings,Ormond Beach,Ormond Beach,FL,32174,US,,,,,,
Jerry's Italian Grill & Tiki Bar,33 Inlet Harbor Rd,Ponce Inlet,FL,32127,US,Bar|Restaurant,Ponce Inlet venue offering italian / tiki bar and recurring specials.,,https://www.restaurantji.com/fl/ponce-inlet/jerrys-italian-grill-and-tiki-bar-/,Official website,Italian / Tiki Bar,0.0,,Jerry's Italian Grill & Tiki Bar Ponce Inlet exterior; Jerry's Italian Grill & Tiki Bar food drinks,29.0890181,-80.9306359,"Waterfront, Italian, Tiki Bar, Casual",33 Inlet Harbor Rd,Ponce Inlet,FL,32127,US,,,,,,
Off The Hook at Inlet Harbor,133 Inlet Harbor Rd,Ponce Inlet,FL,32127,US,Restaurant,Ponce Inlet venue offering seafood / raw bar and recurring specials.,,https://offthehookatinletharbor.com/,Official website,Seafood / Raw Bar,0.0,,Off The Hook at Inlet Harbor Ponce Inlet exterior; Off The Hook at Inlet Harbor food drinks,29.0906426,-80.939916,"Seafood, Raw Bar, Casual, Local Favorite",133 Inlet Harbor Rd,Ponce Inlet,FL,32127,US,,,,,,
